,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10
theta_0,0.057683152723582265,0.012245433288575802,0.48629948544663404,0.45171693595593676,0.4202665451350981,0.23766982463342412,0.04465276175202337,0.40595176730398985,0.3235871486187132,0.07235262716180385
theta_1,0.4341501408528094,0.27001270489139184,0.33681059559946025,0.09425198375336769,0.4584451198127491,0.32018008820134636,0.4035815956359067,0.4563724691501452,0.14103198859326288,0.11502060687780852
theta_2,0.24104998675609268,0.3220407390312655,0.49157828615065363,0.331880855770944,0.3865241110840988,0.2574930558987019,0.05031073205965503,0.22593269634626567,0.4614352876806119,0.27331858816826055
theta_3,0.4483112633282127,0.10805598635874587,0.13630389296213247,0.399153881025733,0.03782971737140051,0.4420012130183765,0.1962290143250581,0.07583975585655471,0.005171503205414382,0.4855778292877586
theta_4,0.34086372266925974,0.010811242540605613,0.16572795371844193,0.4595880957129461,0.3455335881631684,0.4522120039831614,0.38655793237138225,0.4250017763003939,0.18157837622388723,0.1697557805902781
theta_5,0.180857819769793,0.18227416739168828,0.26243472065131146,0.38280219136041455,0.2069616682747069,0.35676844706614635,0.31476639528970685,0.2906003210732702,0.15709785390110811,0.08744338771670221
theta_6,0.17298911514661713,0.306891630531599,0.23148383241184903,0.1254318882721361,0.2642489198578274,0.24054662161302007,0.04306295168479541,0.3123398718099836,0.2089191940142542,0.05110625677918009
theta_7,0.27153077285834976,0.2147572636448998,0.33161424704497194,0.058121475450858336,0.19029384344987918,0.2993098375053635,0.34035632150185136,0.20488460047950716,0.2255791831444458,0.034414767268677454
theta_8,0.1493571247487089,0.4183360558478971,0.15295220614536165,0.47861158424955086,0.4489441108749853,0.04998926808177315,0.4346039858843776,0.0038315361405571956,0.20002154132572778,0.005384550929863381
theta_9,0.385271662637552,0.32244065121291804,0.49305522692239473,0.4704344450165803,0.1911054383254346,0.42023536094613767,0.1560596128863122,0.4916721278036537,0.3911341442566198,0.17341470462704694
theta_10,0.43478177900658244,0.34012243662001973,0.4603424480641772,0.00915917907957037,0.22149239534043838,0.16353428557797361,0.43467372247010533,0.4679427287480326,0.24245636253724437,0.14961442614863962
theta_11,0.17597834809162688,0.3534873366981422,0.2732312028015872,0.39243819010688363,0.3930091904376215,0.4625779178344785,0.09422828178122464,0.36961956015290126,0.1747410377273289,0.13199972936138687
theta_12,0.43582202216758453,0.0697132935089445,0.0636423161654911,0.3932718527773966,0.02159254040101122,0.4935141694572245,0.3716789961944129,0.40937747085968795,0.17975273285983695,0.41269888403334765
theta_13,0.17929796082803187,0.4424548678911907,0.3376993384862976,0.22258927652428856,0.20003426479606543,0.40936109966597367,0.47363914005110636,0.08401933824172263,0.34279930027894023,0.14647288889513088
theta_14,0.04362585442792832,0.0862414359441106,0.18087512097808944,0.41718523541994307,0.23294051778583477,0.23627877448043183,0.21824674205130698,0.42611399525369614,0.05700495024393658,0.029733541604004186
theta_15,0.45088069731572267,0.12834399727945395,0.14615916173768273,0.2775553813364155,0.2549729027902379,0.09974285981210755,0.39420326680645607,0.17396763613564897,0.18376965769229486,0.12051700062982974
theta_16,0.13180803938737853,0.47835623835425706,0.20040300933309935,0.11332354349266102,0.2448167443779146,0.011448657002240542,0.2688226233654002,0.3393136032727908,0.4756444753987865,0.08367902807241488
theta_17,0.4419883731608349,0.1349818251870024,0.04632851251294939,0.27451310282341296,0.4902827033042335,0.18574048991129855,0.1153570231483957,0.0602431558007793,0.4483407967494899,0.019010882515938663
theta_18,0.21767455420355505,0.33989152777793186,0.2374286890513258,0.23267389619191342,0.357364478896791,0.10126725320284617,0.4309131003565373,0.4022477756124671,0.23126390680619266,0.1917461552737637
theta_19,0.48820921979512155,0.2727991983354838,0.3456338340245915,0.2904640615218484,0.005211950336174831,0.3511876433920704,0.08356929482497938,0.0829710833389497,0.1934754587265447,0.014321467030917412
theta_20,0.45909957477105595,0.4248878774336159,0.35339408192457955,0.4205135589393929,0.4385615401573237,0.4584398958807512,0.018905758804568795,0.4958796157645089,0.2269356897604795,0.40158959934378785
theta_21,0.02675760652260172,0.2451007530401331,0.16009280274876034,0.2991119558674233,0.10970542832833823,0.337066213423452,0.4551214725534307,0.13982852786643135,0.2758185440436184,0.21321253709502863
theta_22,0.046526980107057594,0.40212764569151105,0.3431214946179529,0.3686619754935761,0.04537735600716206,0.25924950798749563,0.05757294212845536,0.43363539160184134,0.03435030701281495,0.1901371614232701
theta_23,0.3169554088984333,0.1703857865340308,0.4444321004258567,0.42816310488006104,0.1568912873308728,0.4284653492484201,0.3667394694890398,0.36562470562165006,0.004790763291954231,0.35636062832146775
theta_24,0.38508247215369334,0.329875403072628,0.31029547403747154,0.142821048392911,0.4882301686824883,0.13657507496979107,0.22795860353760436,0.07425195749923001,0.19171430179780843,0.4092132073959393
theta_25,0.4076061264322363,0.3539545731851702,0.34762596401186635,0.060715762926945145,0.05109233646449493,0.271865820658141,0.2343063974976613,0.09240781289878455,0.3521568697931323,0.03712794083764416
theta_26,0.2655815291791077,0.32767438827243994,0.008424443181058557,0.38435510516075877,0.0881842194105386,0.45759116250077586,0.027124285756173,0.1717218779992036,0.32021455694579504,0.3666908513323536
theta_27,0.19573707744781849,0.18466076307300905,0.2932274658357875,0.2237340055060128,0.06877861584601878,0.04144982686885944,0.3650214472977918,0.1250898475060008,0.05405578990742557,0.448517339599713
theta_28,0.12757770356551965,0.3747914437538499,0.4858305848586781,0.40803304533598306,0.08886673221459115,0.3315521323869807,0.369816081993275,0.41716078960133735,0.15128167071157053,0.4030656177493138
theta_29,0.4436705559900233,0.43569060268681464,0.29894195222305403,0.3451468828670552,0.3201933856064272,0.4439042769988763,0.41014795082195665,0.22657054042859115,0.003135841778853963,0.1754211142853957
theta_30,0.3753372908117117,0.004478600897502891,0.16166048249270268,0.20115558586096666,0.3721775891956189,0.20869972225343925,0.2709052792964386,0.27839974350709085,0.10678260712165558,0.11101874316366515
theta_31,0.13775210978463387,0.30505637737346236,0.42329014189339964,0.08181789556963773,0.3928703445942768,0.4943671200695817,0.3624864093205568,0.13012563673075064,0.3108384063026503,0.02838740296334861
theta_32,0.0339113397297888,0.49186786659908144,0.2222781699513648,0.2954350316740119,0.1272980166383561,0.33832707527888173,0.03631147934341049,0.16511793321005916,0.16337015578126557,0.2500799369507652
theta_33,0.3146848964122339,0.42371570907275563,0.09862485810507493,0.17268727560674305,0.27936340568230555,0.035510021485035986,0.2533651962905822,0.37392028367113644,0.3350867728923212,0.463869576194084
theta_34,0.21560871407885965,0.23521785719567884,0.36892788106502344,0.17112153422497176,0.36159520104890813,0.0010839878335689372,0.011516496555819832,0.23379080043465122,0.13442736165243335,0.052340264876799075
theta_35,0.4066844398099332,0.2757413722158682,0.45547102224929664,0.3597265473748029,0.22036535485450348,0.3988139989539693,0.0677126192395441,0.40671545163046363,0.16234520467374908,0.2526928821259698
theta_36,0.4801861348994514,0.3959979725254424,0.3318689216147414,0.4787145377948327,0.10124657693308174,0.3576055026915813,0.45999357085267945,0.09861133212823789,0.06699336652252405,0.2799306788969698
theta_37,0.2924404214282919,0.10232594935788607,0.06064214748961119,0.17585175815756315,0.14595449764366134,0.3210926375474846,0.2768941998535703,0.36707686604367207,0.1499542145001717,0.11420268810072268
theta_38,0.18769956555930242,0.3392221447656251,0.2832267193412189,0.2768098193167166,0.05504893269518701,0.2763977670450063,0.18949134243609644,0.272649399350208,0.17018068637381736,0.03465942542992613
theta_39,0.09281354698612254,0.44450633951092605,0.36823871579719486,0.38142677760032695,0.13464716929033382,0.22739307645208945,0.0898821757678878,0.4140481941828919,0.11764221689277664,0.08337030134752173
theta_40,0.07046094374945712,0.3506234069381585,0.09794988376987117,0.2972030132469214,0.29728126901353064,0.2628372074011982,0.35607208538809637,0.3047766387948162,0.32011920372673497,0.05359509767173311
theta_41,0.4262846844604945,0.3383845116194327,0.08379469232511655,0.2935997649991405,0.4483348325494791,0.38150981773190296,0.33741421269474015,0.28180037058178864,0.09453873751541594,0.15314054884637204
theta_42,0.44434025956415546,0.33605719277938,0.1941314399809394,0.04601901445914226,0.12627597943671384,0.21392510723084543,0.34041869037860206,0.21513632342376102,0.25658872120422693,0.22209379313072175
theta_43,0.44237645464808595,0.3610618530169559,0.4382622798182785,0.20494239108803405,0.13707375309605546,0.056733321333388154,0.2805697557845053,0.1611265062220981,0.06962655187686828,0.06495697173442488
theta_44,0.07338547414409967,0.08808588593790828,0.13882852196697237,0.04901079228095221,0.36963637342724176,0.1303394000883738,0.005687579474827746,0.14858350493173342,0.16963758414187755,0.15366478198990136
theta_45,0.13499643546463913,0.2847102924321357,0.14798266770603258,0.1357074590717684,0.1686093849316612,0.4259622623617654,0.16812616952366607,0.28267143561393376,0.278618353181018,0.22934645856559696
theta_46,0.3407501271204628,0.30710227831992787,0.05868566040369631,0.39912253405235704,0.03835798149304487,0.10282076614781464,0.1509949762336384,0.45573043415379577,0.4032012834605569,0.12341961832992114
theta_47,0.05927500220123882,0.24643705775785246,0.08713941853963712,0.12229397318037082,0.22132902431426246,0.36613727431855464,0.3624651335987024,0.45907256905905747,0.12115853251253773,0.22168034159279967
theta_48,0.0335595582472662,0.2626308840286928,0.3316571277387867,0.10518064451874834,0.379383668121825,0.06497705409427665,0.32919392793362845,0.462594811043436,0.12891914642667782,0.10391536451375391
theta_49,0.31902373822150026,0.0668780413383617,0.33754003727590726,0.46199308054967814,0.13413405302934905,0.4343590070464145,0.2992700808919204,0.4387935035804545,0.26409939760645096,0.48425398562999833
theta_50,0.32232741437643414,0.3188051114098118,0.39230324668122174,0.005406596018594951,0.23832868627795736,0.4315996698546242,0.4492679755971706,0.22159688458809215,0.1766619736691791,0.1792955102553035
theta_51,0.007004512157095732,0.16223903836005352,0.20767743399414898,0.26725750996744096,0.33096386809307254,0.421797392448486,0.18145613089180632,0.10831212443800962,0.42855855510247515,0.2415912382055915
theta_52,0.4360678457610858,0.458127678063866,0.5033587195801368,0.06643924292510066,0.15764201861541893,0.2956759895370103,0.2719902772109118,0.36383468476788494,0.03151973284176288,0.3118556706757241
theta_53,0.38305888809585564,0.1946950974077238,0.2914414114591109,0.30796776815162313,-0.009201762261142976,0.01827338849867018,0.11628322652919727,0.4344551047890991,0.4618636534497522,0.14159220498777336
theta_54,0.3025995504724131,0.21430468728281,0.052162163980913334,0.05765028824702251,0.40870555917640256,-0.002787296129189065,0.2969506492406816,0.2173952144748572,0.3035022927777771,0.05309398228008481
theta_55,0.23585131184529476,0.13935597085919366,0.46146556639425984,0.38719083826014883,0.3125456475599977,0.15222804947876764,0.36282704190213855,0.144984965760688,0.18407594041354877,0.00025148870374677235
theta_56,0.20201951001238067,0.22660312695082044,0.42286952670286554,0.025232288870406884,0.47180998767731563,0.2536962106197752,0.13281519931378502,0.29519739072338014,0.40839667460904927,0.17288177393713552
theta_57,0.08279947986270669,0.39867007687436085,0.4586989031655477,0.3435652220982135,0.41466486026293164,0.055869257375917976,0.42554916909862234,0.35797913673923554,0.041103724655912506,0.04708118302329985
theta_58,0.007691196847427956,0.35680302482762777,0.24686252302955183,0.06586876233212906,0.35125175736726894,0.24456357813861032,0.14538780480353627,0.44966215652310826,0.05868428595911956,0.37201168689985675
theta_59,0.27173324039128416,0.17050841785982868,0.45001861629808526,0.0030960739973765567,0.35421306212660303,0.08804165310392673,0.3809997290150308,0.4045113154009942,0.4649702789061006,0.21193954606796966
theta_60,0.47895287248758484,0.286791906076979,0.015290690545246333,0.318131150691583,0.48702153579356905,0.0003767998655724511,0.2695662859952208,0.1730305185349791,0.4920004236669182,0.4319588979938019
theta_61,0.40871841789512403,0.4962059102126815,0.0412769328642062,0.1995209607573773,0.27681586932000374,0.142800546719067,0.27817986928231253,0.2834253552608064,0.13558217480537577,0.10072753512417518
theta_62,0.08242449008831279,0.24079679988923414,0.3003786304491746,0.29429202037701596,0.2792445887999236,0.4008336732014317,0.4103875738964361,0.3272437151457926,0.21445212007850686,0.25066641608288454
theta_63,0.1553754783278712,0.3847540010113764,0.026152883963003536,0.0997104577797059,0.31167807774087175,0.1655304354680375,0.1379116318650242,0.042307244560734855,0.03001699915482269,0.4216433409798233
theta_64,0.2887429132217809,0.27952893399560064,0.3294400155134214,0.1506829421981307,0.2985073900538946,0.18825166773751414,0.43409351543883995,0.2535265075475606,0.08890009454972134,0.3665163508411451
theta_65,0.1024556649443935,0.14818695987587438,0.04993067238155898,0.3113057493798257,0.3148504115886553,0.19319721825695843,0.08370219822939602,0.38533342359200257,0.15662759707242174,0.2315902715992009
theta_66,0.07956230626178579,0.24424249938177947,0.3578079693315941,0.28312410955364486,0.24797369305793127,0.20169242668791315,0.22103124108277325,0.2870282341002217,0.18192637048654817,0.23398509959828925
theta_67,0.23691670886696425,0.4202604170939638,0.028556825155689487,0.4079750923578809,0.2475331826346818,-0.017011332969726702,0.07480897194290985,0.3773137401234176,0.28982396694793816,0.17519942806983532
theta_68,0.2678650237379415,0.0636838711154262,0.058977825987139895,0.24653337166166872,0.34532279457547277,0.2571467234516064,0.3682648134780123,0.3072513443856471,0.34370638833502537,0.06358024860711818
theta_69,0.04161037191250084,0.022962462725602047,0.22321775917169612,0.28247177568943976,0.11996131193323074,0.24164773057121283,0.0653925451129695,0.387226183183171,0.2186039404672771,0.338329128211067
theta_70,0.34496232607562805,-0.00955312475874279,0.15950138183085524,-0.01484976024928504,0.0996045759522835,0.11309349661521925,0.40641945746349184,-0.07406329473518836,0.3098975632258207,0.11355559818093205
theta_71,0.28082083847033046,0.3458028966906516,0.08318329405307237,0.2417921038262524,-0.03889460865360167,0.2461050577567939,0.08582945576184137,0.14164753654488985,0.18722406303259384,0.017748947462108432
theta_72,0.29075542976326046,0.1270494171237995,0.15223981146519386,0.048728573247637366,0.20849059439001325,-0.07455585348313065,0.18352792052975397,0.2504803577088919,-0.055752923724747515,0.3350520826189306
theta_73,0.3547239757598226,0.40972387820670836,0.22856993151374727,0.0057923812580690315,-0.009192453391352485,0.14640278048952304,0.22983159613221218,-0.07337830024369585,0.0055497048085658505,-0.025485225114011693
theta_74,-0.021148470921426247,-0.003623270950101063,0.30265550015419934,0.12992956123678864,0.31831082918739434,0.15265924719002438,0.2599593658721321,-0.11187147508295073,0.2557386119157103,0.051734041383828096
theta_75,0.08985491535590702,0.1884377515187711,0.10761552750744655,0.009899596421741047,0.15651339041580134,0.14863210681202788,0.026975386744100334,0.06134432202026415,0.35688028504171165,0.016753706403179695
theta_76,0.37350833725545424,0.21681684872442417,0.5230784225571667,0.19979272094762937,0.2903324170978674,0.09851245030945997,0.42321853233097434,-0.030370178570866203,0.44792646026921806,0.2923854847699979
theta_77,0.16529150281055124,0.44584388175164386,0.24170471400606555,0.08752107192356157,0.3821336927173705,0.28013524033298753,0.27587413531397853,0.1742239658173554,0.20488417544905596,0.06797015378197958
theta_78,0.19680007090812102,0.1975197733785531,0.22445591194603706,0.4809501335082638,0.23044210238851504,0.11226524161334077,0.13512744768298462,0.15873735182503587,0.4602458657413118,0.3293945110081081
theta_79,0.18474607045032296,0.3704309929025624,0.213071502283506,0.364505235231717,0.1612574333078636,0.4333874566447532,0.3405682759938338,0.30009029281703276,0.43244002635564,0.010820425353241007
theta_80,0.06722932041579478,0.45208688226702204,0.058958973936480794,0.19992152105673036,0.4404173301888008,0.1335711688792798,0.3907938805766655,0.23937009467288542,0.4013714679788235,0.25430273772588224
theta_81,0.057028983386006336,0.043555226537537205,0.2855111385323894,0.10226725698279743,0.05812010816815522,0.08815258450731138,0.126487469853485,0.23150239771365114,0.3688663231231271,0.2870184195520191
theta_82,0.27996411828361156,0.469253459092622,0.46352757775180564,0.4960691454144691,0.08607656969068031,0.2669242219510109,0.18667024307239655,0.22257070881397462,0.04564158476221684,0.3556543906668447
theta_83,0.2518807875379943,0.1860120655093965,0.2539189211210608,0.23081253521555234,0.38234416463234944,0.34523962833912275,0.11824768675551368,0.06521527407528727,0.1566606797338947,0.1986014189438191
theta_84,0.03188755077941894,0.0343934868478165,0.18077726809279537,0.3530978947606329,0.04428503960568354,0.19991329515533096,0.4235849845948651,0.4355417846856888,-0.04719372860328187,-0.026199108299298567
theta_85,0.27961122890047935,-0.025313732740893727,0.34031448407516657,-0.005615503162520693,-0.03269854033187604,0.26960036929999154,0.08680270501387513,-0.03737024091108952,0.12817028195711805,-0.028479011093573293
theta_86,0.10545416151866326,-0.05579214764219205,-0.06795192406774082,0.25180317817644693,-0.003806555786781669,0.2953562637078309,0.205886648536662,0.11764276837357175,0.2877177184623422,0.1862468842319237
theta_87,-0.10867593177491734,0.11009532661525953,0.30271914222409024,0.04326902583630102,-0.05296205252767228,0.0013294268413345728,0.15632363922243525,0.28086516324860666,-0.08788163623810953,-0.13602350802659552
theta_88,0.23545615032824263,0.13946433049794135,0.2544034364535091,-0.05271250158043997,0.15685886496595824,0.2387065444723773,0.3350249767697383,-0.036118174593970556,0.07333457752238025,-0.11373887464307236
theta_89,-0.04073002998681344,0.015281711253815668,0.11334309288873524,0.19990975330618227,-0.0944690068899384,-0.003658789218606094,-0.07371018737400342,0.1654230186340765,-0.012450451790881696,0.1886344410174467
theta_90,0.007779918503075007,0.035101993933275344,0.12948006767873624,0.2872498079577035,0.2526375470336143,-0.009573356663090265,0.14606582486506384,0.07548047004047218,-0.027979192756905975,0.01939773983368892
theta_91,0.2112737734442869,0.1616012523994948,-0.053357398274674145,0.0902709504118878,-0.03971828896752762,-0.23354104190117175,-0.180009017781806,-0.17217318880103027,-0.21410056232742067,0.3260983908005953
theta_92,0.1645989055987725,0.32557744301932345,0.17852162213992184,0.019030097117744213,-0.0027944652819512474,0.06155869601934874,-0.1260265571514037,0.11008217902778793,-0.029504582938918257,0.35179176827611974
theta_93,-0.08418826634339491,0.15350626132128262,0.055418071853919504,0.07399527054331173,-0.11369685221584357,-0.16420981460430714,-0.027840155216856243,-0.2034740447437656,-0.0942904879382324,0.3386878115422332
theta_94,-0.21899732174220468,0.0004780619053606607,0.21482605465596777,-0.002617281870519611,-0.045583741152093155,-0.24027127329561077,-0.1377530282942455,0.16122670345602338,-0.09307032320709731,-0.060856181057026316
theta_95,-0.016307978565149615,0.08437663374689705,-0.006868813223458885,0.2548743042968039,0.014387269662439132,-0.015622604562282661,-0.06418316743748896,0.1879087499509779,-0.09410733096827593,0.04442749402514554
theta_96,0.2828169645110079,-0.021891616442855043,0.2001886365777903,0.1074915256318667,0.30356842527068967,-0.08932829314642057,0.1989088787310979,0.1798965762151174,0.09581983259672824,0.19387265143860777
theta_97,0.30581280445904396,0.40437082290117593,0.38804365563969073,0.15556915534200141,0.015062867330876676,0.07191617596712639,0.16234954728094836,0.08294855121864185,0.3742875946655498,0.033350436029504174
theta_98,0.23437833461379248,0.1118261666515582,0.2827046223818734,0.06032633756063725,0.44359041473979066,0.14089086890403743,0.36315007039049446,0.3079912700530613,0.44134904650985457,0.2231502033878075
theta_99,0.258271449070166,0.37922400588607097,0.28079089865883583,0.094603313299378,0.29605418006734663,0.43068305644763566,0.3657548057380233,0.28515579807212293,0.22108746233606416,0.0189220819824002
theta_100,0.10814149940752162,0.39522825454512756,0.30323813266378147,0.3409217803446256,0.439470258301153,0.1529365817065326,0.045200417953996055,0.23813905020445558,0.39415161936514487,0.03606065860890735
theta_101,0.36070914954399963,0.3492268617943635,0.19807626495008812,0.14970767965846143,0.35833585259180045,0.12237938618363031,0.2433072473963139,0.29722944623883973,0.2129159831418695,0.09540652776065649
theta_102,0.29438561080253506,0.3866751827919128,0.3074335458024016,0.010967366075490741,0.45142008791889243,0.4197947228123388,0.24786112909204314,0.0958530829971203,0.0035774421574333685,0.04042960623780608
theta_103,0.031397131097916454,0.40442542370348883,0.2716659593586878,0.008669031656946397,-0.03513324010763356,0.03267493123132881,0.39725125949302936,0.11352266907146392,0.391742889817199,-0.017961971088880004
theta_104,0.052510096770864725,0.2967558870808186,0.026238750696441826,0.1642812813850055,-0.006546264420639976,0.2852395609445484,0.0021309682575336316,0.09884332920255369,-0.06968136521467343,0.3141267400280649
theta_105,-0.10437175743099102,-0.07688706746730957,0.15151224780490344,-0.031540885117325536,0.2886065737677317,0.24594497765190151,0.10840241445510494,0.1341810042615571,0.057891435046109864,0.3050192929829864
theta_106,0.1241653964996002,0.0029889502137271516,-0.02639358933123236,-0.0022439223087308197,-0.19979849115650422,0.022401480446414268,0.34154152003872473,-0.11803569880157135,-0.09926982119953343,-0.21041166634747988
theta_107,0.12202324355376062,-0.32352130188225164,0.09627485422770479,-0.1465289296442974,0.17255782352092663,0.0066023188466682115,0.11133914318610284,-0.1242711211868465,0.12470902532808865,0.0873322002556754
theta_108,-0.011240860112265444,-0.07101610769828161,-0.23438412727334196,-0.02477186327689064,-0.1342709647821711,0.12759695004857965,-0.16083747021346825,0.11581809289971352,0.2152954169408127,-0.07942966164620516
theta_109,0.05955405752492112,-0.28595312401032363,-0.07343305497210495,0.09768238547879748,-0.1245886840948677,-0.03421811785740704,-0.21083374166373517,-0.2589815685071323,-0.006667551695661761,0.018747831766179772
theta_110,0.13430427020578975,-0.2513005503485158,-0.115945792984513,-0.027384231113803843,0.07304136863071438,-0.25600405715089103,-0.14954351880925426,-0.2636870544851501,-0.16338927693819194,-0.035289954593005414
theta_111,-0.23528133431706627,0.005731851250793553,-0.07517953335519713,0.19834042144013098,-0.31457242899147725,-0.04284601754996602,0.027785289991308682,-0.22315951646008608,-0.11752741155713767,0.040604881302171575
theta_112,-0.1255285784686884,0.35741578278050995,-0.11904619195577311,-0.18223268292361672,-0.267505330021732,0.04608037175554124,0.12702470215701586,0.06979353163007544,-0.013260625555628427,-0.0012049026843186177
theta_113,-0.31589022263589994,-0.05270967897387777,0.08515957377004266,-0.12279318498306417,-0.14012022866158272,0.1839332111850052,-0.09659398607250613,0.033119014763494,-0.19706409386483473,0.07134225840377101
theta_114,-0.1182971830647496,-0.0007751776268755309,0.08918747234058642,-0.34850916978980545,0.10566921874999942,-0.07733606598777877,-0.3073361162539874,0.03713493223254328,-0.08738360856204139,0.20644156495258045
theta_115,-0.10082931087649978,0.34208520993343894,0.2712780074391006,0.042165375704546114,0.06121334674100795,-0.10634611292424126,-0.11127438361854804,0.22476916596787536,-0.3176671131289057,0.12422768422627377
theta_116,0.049670587353783865,0.13520415763405083,0.2067352319783258,-0.017301263593896932,0.12269778351582612,-0.19224745555901332,-0.062066873187120196,0.008456084861126922,-0.1650904169368967,0.048343772032971646
theta_117,0.23775752009269346,0.1725391394821728,0.4412244909197661,-0.02565433780910496,0.015415219884247832,0.1188211672393698,0.3183574564233633,0.25201219169092703,0.23107035633634532,0.20887202976385674
theta_118,0.45940929109778117,0.0571602283071114,0.017964796528788383,0.0029787608666594256,0.20239211647440583,-0.016406279316419713,0.2715435881462669,0.09745376421055923,0.2649504259883033,0.14532392044802575
theta_119,0.16863974766725495,0.46008059197936646,0.1995155806735403,0.135512727950843,0.026785293952462826,0.026993162655120844,0.21663881136290586,0.2465362908440674,0.379438231146661,0.10749307512813469
theta_120,0.15902224158548584,0.27515034509389874,0.15045854634414196,0.1757533037372727,0.025303240024544437,0.08606148974191626,0.3803970674396488,0.18499498837625677,0.3407639457384166,0.08015467718358592
theta_121,0.256057367777256,0.24647835928583847,0.38758376219918395,0.07272752150141687,0.4562970989639729,0.41104573067050315,0.134130864770418,0.20570149327490023,0.3145688148689045,0.20636353576757377
theta_122,-0.011029891926681305,0.2160640531755386,0.4448323399267364,0.02898337989012143,0.058950071431313714,0.029830250751941012,0.4132258024553026,0.43917310733061005,0.3623031577023442,0.22404785227765472
theta_123,0.16754211946690714,0.22675334648853143,0.37612771546615614,-0.019290207990477586,0.32195302025782657,0.22912221299449617,0.00289522330241597,-0.030294924353880683,0.11113893412815612,0.32202238287776164
theta_124,-0.10341445863238834,0.03746123213827771,0.06401275329534656,-0.1084033417022293,-0.016293937044583314,-0.053774225365330205,0.22629665291410045,-0.1395829650957189,0.12079281946898048,-0.08563253853009152
theta_125,0.0672652933106761,0.009085975875666886,-0.029901579432659333,-0.07366886127973472,0.07475415358476632,0.11104555683078134,-0.13503415650217848,0.07845517440955121,-0.19346358774901087,0.2200045513302247
theta_126,-0.03920428774676108,0.12395401550651465,-0.18250690669518943,-0.14196424116513703,-0.27506124336770343,-0.18414919942919367,0.331399346959735,0.04951942782953598,-0.24867911750469912,-0.23224142886602614
theta_127,-0.07957786816770485,-0.28065797997889735,-0.10481144627282983,0.10740396974469678,-0.18772375207943956,-0.31184540053485665,-0.15333472901562192,0.1353400687068253,-0.103306169030164,-0.13680228032120406
theta_128,-0.39073182380869725,-0.13820545413409543,-0.4365867052244745,0.13563334517196307,0.01284282911726207,-0.25826228094941567,0.20144133254455687,-0.33104173741691967,0.17113054658493052,-0.06447932666987054
theta_129,-0.19227177730253045,-0.4398295578385958,-0.351896695523833,0.27249789127361956,-0.09324303130632854,-0.0036162028278570717,-0.32006230773762934,-0.1282572941845834,0.15634340134063815,0.17141389419418218
theta_130,-0.004316363977464348,-0.22999753459294944,0.08447438635321289,0.008782832660629658,-0.018733974316936842,-0.1767865136541269,0.02782490055974393,-0.20723934985964135,0.24213160011476395,0.27126145889480047
theta_131,-0.27130973895437044,0.009759810901564076,-0.2740679290520625,0.2959187182669309,-0.07497822508096598,0.344648784343361,-0.17326624780415348,-0.143321034498013,0.17303288229783156,-0.08498481413454255
theta_132,-0.06814656621933264,-0.10889159114443384,-0.159074942864852,0.2852733878689306,0.09118317745710816,0.3709635042139462,0.05398121867530775,-0.028259194289199523,0.11508109711701944,0.27834259214122836
theta_133,-0.18640362500234547,0.05853139876617439,-0.05694888627057972,-0.31600070218696075,0.14319730228270927,-0.049667445159247016,-0.07876258253986745,0.17504820787190975,-0.04164990805721279,-0.10695910968697032
